Eagle,39.228,12.71
Stone2,33.32,8.17
Stone2,36.22,8.17
Stone2,39.32,8.17
Stone2,42.42,8.17
Stone2,45.59,8.17
Stone2,45.59,11.4
Stone2,45.59,14.63
Stone2,45.59,17.86
Stone2,42.5,17.86
Stone2,39.47,17.86
Stone2,36.38,17.86
Stone2,33.22,17.86
Stone2,33.22,14.7
Stone2,33.22,11.41
Bricks,4.95,-7.76
Bricks,8.19,-7.76
Bricks,11.44,-7.76
Bricks,11.44,-11.03
Bricks,11.44,-14.32
Bricks,4.82,36.13
Bricks,8.06,36.13
Bricks,11.31,36.13
Bricks,11.31,42.7
Bricks,11.31,39.43
Bricks,66.1,35.97
Bricks,69.34,35.97
Bricks,66.08,42.58
Bricks,66.08,39.29
Bricks,72.62,35.97
Bricks,65.89,-7.6
Bricks,69.13,-7.6
Bricks,72.38,-7.6
Bricks,65.89,-10.87
Bricks,65.89,-14.16
